SequenceCount,Sequences,SN,BodyGroup
1,%SiemensSeq%\gre,182627,Brain
2,%SiemensSeq%\tse_dixon,182627,Brain
3,%SiemensSeq%\space,182627,Brain
4,%SiemensSeq%\space,182627,Brain
5,%SiemensSeq%\tse,182627,Brain
6,%SiemensSeq%\fl3d_vibe,182627,Brain
1,%SiemensSeq%\AALScout,182627,Knee
2,%SiemensSeq%\tse,182627,Knee
3,%SiemensSeq%\tse_dixon,182627,Knee
4,%SiemensSeq%\tse_dixon,182627,Knee
5,%SiemensSeq%\tse,182627,Knee
6,%SiemensSeq%\fl3d_vibe,182627,Knee
7,%SiemensSeq%\tse_dixon,182627,Knee
8,%SiemensSeq%\fl3d_vibe,182627,Knee
9,%SiemensSeq%\haste,182627,Knee
